Презиме и име,Скок1,Скок2,Скок3
Алексић Алекса,4.25,4.31,4.22
Бранковић Бранко,3.89,4.02,4.05
Вуковић Вук,0,3.91,4.1
Гавриловић Гаврило,3.78,3.26,3.11
Дејановић Дејан,4.56,4.31,4.27
Ђорђевић Ђорђе,4.63,4.6,4.52
Жарковић Жарко,3.47,3.51,3.58
Зорић Зоран,4.12,4.15,4.09
Ивановић Иван,3.91,3.26,0
Јовановић Јован,4.01,4.1,4.12
Костић Коста,3.51,3.72,3.41
Лукић Лука,2.15,2.17,2.18
Марковић Марко,3.39,0,3.26
Ненадовић Ненад,4.25,4.18,4.22
Огњановић Огњен,4.31,4.26,4.12
Петровић Петар,4.23,4.34,4.34
Ракић Рака,3.51,3.54,3.62
Станојевић Станоје,4.57,4.59,4.63
